"BioCeramic",,,"Coralline",,,"MedPor",,
"Time","Force","Stroke","Time","Force","Stroke","Time","Force","Stroke"
"sec","N","mm","sec","N","mm","sec","N","mm"
,,,,,,"181.208","645.3514","3.019677"
,,,,,,"181.21","645.3514","3.019708"
,,,,,,"181.212","645.3514","3.01974"
,,,,,,"181.214","645.3514","3.019781"
,,,,,,"181.216","645.3514","3.019813"
,,,,,,"181.218","645.3514","3.019844"
,,,,,,"181.22","645.3991","3.019875"
,,,,,,"181.222","645.3991","3.019906"
,,,,,,"181.224","645.3991","3.019938"
,,,,,,"181.226","645.3991","3.019979"
,,,,,,"181.228","645.3991","3.02001"
,,,,,,"181.23","645.3991","3.020042"
,,,,,,"181.232","645.4308","3.020073"
,,,,,,"181.234","645.4308","3.020115"
,,,,,,"181.236","645.4308","3.020146"
,,,,,,"181.238","645.4308","3.020177"
,,,,,,"181.24","645.4308","3.020208"
,,,,,,"181.242","645.4308","3.02024"
,,,,,,"181.244","645.4308","3.020281"
,,,,,,"181.246","645.4786","3.020313"
